Ticker,Symbols,CSVSymbol,1 Year Returns,2 Year Returns,5 Year Returns,10 Year Returns,,,,Date Modified
GICRE,GICRE.NS,NSE:GICRE,-0.08628290717,0.602739726,1.926179911,1.926179911,,,,
COLPAL,COLPAL.NS,NSE:COLPAL,-0.372280616,0.1542437636,0.6325492689,1.439261214,,,,
GODREJPROP,GODREJPROP.NS,NSE:GODREJPROP,-0.3782551677,0.2477363161,1.330387969,5.367764631,,,,
LTF,LTF.NS,NSE:LTF,0.3409647072,0.3409647072,0.3409647072,0.3409647072,,,,
BERGEPAINT,BERGEPAINT.NS,NSE:BERGEPAINT,-0.1309640523,-0.1301112202,0.09612332804,3.077041012,,,,
OBEROIRLTY,OBEROIRLTY.NS,NSE:OBEROIRLTY,-0.160653667,0.4059152819,2.959776536,5.096330275,,,,
BHARATFORG,BHARATFORG.NS,NSE:BHARATFORG,-0.2225719282,0.1052655367,1.748258036,1.695368472,,,,
BDL,BDL.NS,NSE:BDL,0.3987031195,2.220547586,9.701977875,9.701977875,,,,
PHOENIXLTD,PHOENIXLTD.NS,NSE:PHOENIXLTD,-0.133463345,0.7661087163,4.696641387,8.503554645,,,,
IRCTC,IRCTC.NS,NSE:IRCTC,-0.2140506746,0.03968369124,1.64986502,1.64986502,,,,
UPL,UPL.NS,NSE:UPL,0.1591325068,0.1343167571,0.3867542555,1.310445706,,,,
COFORGE,COFORGE.NS,NSE:COFORGE,0.1546156045,0.5285949413,2.506411786,2.506411786,,,,
INDUSINDBK,INDUSINDBK.NS,NSE:INDUSINDBK,-0.4898846924,-0.4879223705,0.4349810624,-0.19774134,,,,
MOTILALOFS,MOTILALOFS.NS,NSE:MOTILALOFS,0.2066430184,3.387458374,4.928824946,11.46767959,,,,
GLENMARK,GLENMARK.NS,NSE:GLENMARK,0.2048306333,1.603526192,3.238317273,1.048169846,,,,
SAIL,SAIL.NS,NSE:SAIL,0.02875709591,0.479377014,3.009606987,1.66660213,,,,
PIIND,PIIND.NS,NSE:PIIND,-0.216979804,0.06548390899,0.8885783686,4.66543916,,,,
SUPREMEIND,SUPREMEIND.NS,NSE:SUPREMEIND,-0.1974459725,0.03328878919,2.144018878,6.080533072,,,,
BANKINDIA,BANKINDIA.NS,NSE:BANKINDIA,0.07699178278,0.1316752698,2.003237858,-0.1117495396,,,,
LINDEINDIA,LINDEINDIA.NS,NSE:LINDEINDIA,-0.2525247792,0.08645675459,7.804250328,20.21010638,,,,
MPHASIS,MPHASIS.NS,NSE:MPHASIS,-0.1044057094,0.1034731692,1.163560588,5.756876228,,,,
GODFRYPHLP,GODFRYPHLP.NS,NSE:GODFRYPHLP,0.3810204115,3.732495815,9.994541949,14.18873036,,,,
MFSL,MFSL.NS,NSE:MFSL,0.3452431469,0.7297031864,1.667395877,3.218047314,,,,
NAM_INDIA,NAM_INDIA.NS,NSE:NAM_INDIA,0,0,0,0,,,,
JKCEMENT,JKCEMENT.NS,NSE:JKCEMENT,0.3996039354,1.112971709,3.428704753,9.507710558,,,,
AUBANK,AUBANK.NS,NSE:AUBANK,0.005025808204,-0.003300330033,1.254898973,1.254898973,,,,
KALYANKJIL,KALYANKJIL.NS,NSE:KALYANKJIL,-0.3852979275,1.323947111,1.323947111,1.323947111,,,,
IDFCFIRSTB,IDFCFIRSTB.NS,NSE:IDFCFIRSTB,-0.04953854506,-0.2573700954,1.386030664,1.386030664,,,,
SUNDARMFIN,SUNDARMFIN.NS,NSE:SUNDARMFIN,-0.07899026039,0.4720823471,2.507247474,2.083824166,,,,
AIIL,AIIL.NS,NSE:AIIL,0.7754218571,0.7754218571,0.7754218571,0.7754218571,,,,
COCHINSHIP,COCHINSHIP.NS,NSE:COCHINSHIP,0.0952049648,3.002400179,11.38481873,11.38481873,,,,
KRT.RR,KRT.RR.NS,NSE:KRT.RR,0,0,0,0,,,,
ITCHOTELS,ITCHOTELS.NS,NSE:ITCHOTELS,0,0,0,0,,,,
BALKRISIND,BALKRISIND.NS,NSE:BALKRISIND,-0.220787129,-0.05114445724,0.7930602161,6.256528876,,,,
LAURUSLABS,LAURUSLABS.NS,NSE:LAURUSLABS,0.9441786284,1.351466049,2.442076729,2.442076729,,,,
PAGEIND,PAGEIND.NS,NSE:PAGEIND,0.0196943896,0.08496780091,1.171794338,2.241815902,,,,
BIOCON,BIOCON.NS,NSE:BIOCON,-0.04602900093,0.3576296857,-0.1622663551,3.859718081,,,,
HUDCO,HUDCO.NS,NSE:HUDCO,-0.04111455108,1.780251346,6.213975155,6.213975155,,,,
KAYNES,KAYNES.NS,NSE:KAYNES,0.3448018747,2.573871812,2.573871812,2.573871812,,,,
FEDERALBNK,FEDERALBNK.NS,NSE:FEDERALBNK,0.02092181847,0.323589395,3.081761006,2.035074045,,,,
TATACOMM,TATACOMM.NS,NSE:TATACOMM,-0.1827776267,-0.1095790806,1.017696955,5.652448594,,,,
UBL,UBL.NS,NSE:UBL,-0.1812971342,0.117367621,0.8527542929,1.099369273,,,,
GLAXO,GLAXO.NS,NSE:GLAXO,0.007012312959,0.776832397,0.7722855662,0.6493036716,,,,
ANTHEM,ANTHEM.NS,NSE:ANTHEM,0,0,0,0,,,,
APLAPOLLO,APLAPOLLO.NS,NSE:APLAPOLLO,0.1444451976,0.09444480456,5.303998805,32.79503603,,,,
PREMIERENE,PREMIERENE.NS,NSE:PREMIERENE,-0.03151982174,-0.03151982174,-0.03151982174,-0.03151982174,,,,
VOLTAS,VOLTAS.NS,NSE:VOLTAS,-0.2822816548,0.5689409078,1.050746269,4.477376918,,,,
IREDA,IREDA.NS,NSE:IREDA,-0.3279085111,-0.3279085111,-0.3279085111,-0.3279085111,,,,
DALBHARAT,DALBHARAT.NS,NSE:DALBHARAT,0.1808053065,-0.0252187119,2.028643583,2.028643583,,,,
LTTS,LTTS.NS,NSE:LTTS,-0.248057295,-0.124683926,1.599736048,1.599736048,,,,
HEXT,HEXT.NS,NSE:HEXT,0,0,0,0,,,,
MAHABANK,MAHABANK.NS,NSE:MAHABANK,-0.09095346567,0.2106175515,3.944247788,0.6408223201,,,,
PGHH,PGHH.NS,NSE:PGHH,-0.1677305758,-0.2168105314,0.389913402,1.292958592,,,,
FLUOROCHEM,FLUOROCHEM.NS,NSE:FLUOROCHEM,-0.1321004423,0.2429134316,6.470770461,6.470770461,,,,
360ONE,360ONE.NS,NSE:360ONE,-0.05252422234,0.9636817832,0.9636817832,0.9636817832,,,,
CONCOR,CONCOR.NS,NSE:CONCOR,-0.2523789533,-0.08531365566,0.7796469021,0.5788462675,,,,
PETRONET,PETRONET.NS,NSE:PETRONET,-0.1718228693,0.1405597327,0.245381984,2.060069483,,,,
JUBLFOOD,JUBLFOOD.NS,NSE:JUBLFOOD,-0.1091204063,0.166743649,0.3644023853,2.886632201,,,,
BLUESTARCO,BLUESTARCO.NS,NSE:BLUESTARCO,-0.03287265548,1.149171877,5.137894308,10.77877968,,,,
MCX,MCX.NS,NSE:MCX,0.3634160239,3.213846396,3.89751031,7.421494983,,,,
RADICO,RADICO.NS,NSE:RADICO,0.3907925652,1.580653516,6.385546634,34.73580395,,,,
M&MFIN,M&MFIN.NS,NSE:M&MFIN,-0.1241047134,-0.04089181136,1.393589744,1.054809597,,,,
ESCORTS,ESCORTS.NS,NSE:ESCORTS,-0.1640953717,0.1238157061,2.021106864,22.7620915,,,,
ENDURANCE,ENDURANCE.NS,NSE:ENDURANCE,0.1352418559,0.7344309684,1.596913813,1.596913813,,,,
GODREJIND,GODREJIND.NS,NSE:GODREJIND,-0.01562182999,1.185191857,2.024560529,2.457317942,,,,
KEI,KEI.NS,NSE:KEI,-0.03656907944,0.7173908543,10.94557235,40.64759036,,,,
THERMAX,THERMAX.NS,NSE:THERMAX,-0.3849738245,0.1016828873,3.44852289,2.714155511,,,,
KPRMILL,KPRMILL.NS,NSE:KPRMILL,0.0884815457,0.5077545979,7.977282014,12.95338499,,,,
NATIONALUM,NATIONALUM.NS,NSE:NATIONALUM,0.08523083351,1.228418231,5.534591195,4.685362517,,,,
EMBASSY.RR,EMBASSY.RR.NS,NSE:EMBASSY.RR,0,0,0,0,,,,
ASTRAL,ASTRAL.NS,NSE:ASTRAL,-0.302819881,-0.2502141328,1.26330333,6.363053307,,,,
UCOBANK,UCOBANK.NS,NSE:UCOBANK,-0.3867962738,-0.2858490566,1.49218107,-0.3522994652,,,,
POONAWALLA,POONAWALLA.NS,NSE:POONAWALLA,0.2309724494,0.3187331536,13.4962963,4.75249853,,,,
CHOLAHLDNG,CHOLAHLDNG.NS,NSE:CHOLAHLDNG,-0.06586619231,0.6095525946,3.774592752,3.774592752,,,,
SJVN,SJVN.NS,NSE:SJVN,-0.2850517854,0.3252148997,3.223744292,2.744939271,,,,
